candidate_id,rank,score,reasoning,semantic_score,skill_score,experience_score,career_score,behavioral_score,location_score,education_score
CAND_0007391,44,0.4635,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0008,0.7431,0.9616,0.6675,0.5978,0.5,0.525
CAND_0001056,45,0.4612,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0003,0.6569,1.0,0.66,0.6834,0.65,0.53
CAND_0001086,46,0.4607,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0028,0.5705,1.0,0.8825,0.6292,0.5,0.53
CAND_0003917,47,0.4591,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0043,0.5389,1.0,0.8175,0.6891,0.7,0.635
CAND_0003841,48,0.4576,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0057,0.5666,1.0,0.69,0.6975,1.0,0.525
CAND_0000422,49,0.4566,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0011,0.5973,1.0,0.755,0.7097,0.7,0.33
CAND_0005509,50,0.4565,Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. No evidence of keyword stuffing.,0.0006,0.4519,1.0,0.86,0.8397,1.0,0.515
CAND_0003977,51,0.4564,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0086,0.6484,0.9873,0.565,0.6661,0.7,0.74
CAND_0008618,52,0.455,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0007,0.7017,0.9928,0.5575,0.5865,0.7,0.53
CAND_0000981,53,0.4534,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0224,0.542,1.0,0.8475,0.5653,0.5,0.42
CAND_0003557,54,0.4522,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0005,0.5646,1.0,0.7975,0.5662,0.5,0.74
CAND_0007088,55,0.4514,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0001,0.6232,0.9716,0.635,0.5607,1.0,0.635
CAND_0001610,56,0.4494,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0037,0.776,0.7261,0.86,0.694,0.65,0.42
CAND_0004555,57,0.448,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0055,0.5566,1.0,0.7225,0.6208,0.5,0.7475
CAND_0001930,58,0.4464,Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. No evidence of keyword stuffing.,0.0363,0.4793,1.0,0.7525,0.6075,0.7,0.515
CAND_0002770,59,0.4463,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0007,0.5063,1.0,0.845,0.5104,0.65,0.74
CAND_0005460,60,0.4455,Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. No evidence of keyword stuffing.,0.0005,0.4936,1.0,0.805,0.7491,0.7,0.445
CAND_0007631,61,0.445,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.009,0.6381,1.0,0.475,0.6913,0.65,0.62
CAND_0006209,62,0.4443,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0005,0.7225,0.9077,0.45,0.6655,0.85,0.74
CAND_0001405,63,0.4439,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0087,0.6267,0.8353,0.7875,0.7424,0.65,0.635
CAND_0006538,64,0.4436,Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. No evidence of keyword stuffing.,0.004,0.4928,1.0,0.6825,0.7162,0.85,0.725
CAND_0002637,65,0.4434,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0034,0.5629,0.9716,0.8775,0.556,0.15,0.635
CAND_0006581,66,0.4427,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0008,0.8618,0.7936,0.6125,0.4331,0.5,0.635
CAND_0007874,67,0.4422,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0023,0.6209,0.8735,0.775,0.6561,0.65,0.635
CAND_0009834,68,0.4414,Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. No evidence of keyword stuffing.,0.0004,0.478,1.0,0.9075,0.4559,0.65,0.635
CAND_0001820,69,0.4405,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0063,0.7245,1.0,0.435,0.4112,0.7,0.46
CAND_0000200,70,0.4398,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0112,0.5431,0.9616,0.7175,0.6637,0.65,0.53
CAND_0008456,71,0.4372,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0024,0.5998,0.9231,0.685,0.5689,0.65,0.74
CAND_0002957,72,0.4345,Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. No evidence of keyword stuffing.,0.0068,0.4415,1.0,0.875,0.5986,0.3,0.74
CAND_0005208,73,0.4343,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.003,0.6714,0.9928,0.405,0.5276,0.7,0.635
CAND_0007955,74,0.4341,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0049,0.6742,1.0,0.375,0.5307,1.0,0.33
CAND_0004534,75,0.4339,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0056,0.5114,0.9501,0.7675,0.7325,0.5,0.5375
CAND_0001206,76,0.4326,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0052,0.5963,1.0,0.385,0.7203,1.0,0.4675
CAND_0001088,77,0.4319,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0018,0.7156,1.0,0.42,0.5242,0.15,0.6425
CAND_0000969,78,0.4316,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0021,0.5662,1.0,0.51,0.8162,0.5,0.53
CAND_0005191,79,0.431,Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. No evidence of keyword stuffing.,0.0005,0.4909,1.0,0.665,0.6356,0.65,0.725
CAND_0008049,80,0.4309,Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. No evidence of keyword stuffing.,0.0002,0.4053,1.0,0.79,0.5979,1.0,0.635
CAND_0004848,81,0.4304,Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. No evidence of keyword stuffing.,0.0255,0.3704,1.0,0.835,0.5102,0.85,0.635
CAND_0005525,82,0.4303,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0045,0.723,0.995,0.345,0.5483,0.5,0.42
CAND_0006870,83,0.4299,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0029,0.5927,0.9077,0.66,0.6928,0.5,0.62
CAND_0009236,84,0.4297,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.026,0.5285,1.0,0.525,0.5104,0.7,0.725
CAND_0007688,85,0.4275,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0022,0.6135,0.9692,0.435,0.6637,0.7,0.635
CAND_0009325,86,0.4273,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0039,0.5365,1.0,0.705,0.6493,0.15,0.4675
CAND_0008728,87,0.4266,Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. No evidence of keyword stuffing.,0.0035,0.4503,1.0,0.785,0.5653,0.5,0.635
CAND_0000705,88,0.4263,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0154,0.5256,0.8549,0.7975,0.6441,0.65,0.635
CAND_0005247,89,0.4261,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0081,0.6304,1.0,0.385,0.4358,1.0,0.46
CAND_0009507,90,0.4261,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0048,0.6811,0.995,0.31,0.4869,0.7,0.6425
CAND_0005405,91,0.426,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0033,0.6597,1.0,0.435,0.5041,0.5,0.46
CAND_0005716,92,0.4258,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0039,0.7079,1.0,0.34,0.3939,0.7,0.46
CAND_0001819,93,0.4255,Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. No evidence of keyword stuffing.,0.0121,0.4526,0.9716,0.59,0.8421,0.65,0.74
CAND_0004008,94,0.4249,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0053,0.6412,1.0,0.325,0.5982,0.65,0.635
CAND_0001218,95,0.4248,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0233,0.5234,1.0,0.5975,0.5827,0.15,0.725
CAND_0003575,96,0.4239,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0033,0.5106,0.8735,0.7225,0.7719,0.65,0.7475
CAND_0001980,97,0.4238,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0016,0.6888,1.0,0.29,0.5679,0.5,0.62
CAND_0001494,98,0.4235,Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. No evidence of keyword stuffing.,0.0022,0.4788,1.0,0.735,0.5232,0.65,0.435
CAND_0008417,99,0.4233,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.002,0.6813,0.9486,0.335,0.6526,0.7,0.515
CAND_0001126,100,0.4232,"Good alignment with AI engineering requirements. Demonstrates relevant ML experience and a consistent technical career trajectory. Strong matching on core AI technologies (Python, PyTorch, LLMs). No evidence of keyword stuffing.",0.0004,0.527,0.9992,0.605,0.7653,0.5,0.26
